,0
6,"['predicting', 'energy', 'power', 'consumption', 'strong', 'weak', 'scaling', 'hpc', 'application', 'keeping', 'energy', 'consumption', 'cost', 'budget', 'operating', 'within', 'available', 'capacity', 'power', 'distribution', 'cooling', 'system', 'becoming', 'important', 'feature', 'many', 'modern', 'high', 'performance', 'computing', 'hpc', 'data', 'center', 'even', 'important', 'considering', 'estimated', 'power', 'requirement', 'exascale', 'computing', 'power', 'energy', 'capping', 'two', 'forthcoming', 'technique', 'aimed', 'towards', 'controlling', 'efficient', 'budgeting', 'power', 'energy', 'consumption', 'within', 'data', 'center', 'implementation', 'technique', 'requires', 'knowledge', 'potentially', 'unknown', 'power', 'energy', 'consumption', 'profile', 'given', 'parallel', 'hpc', 'application', 'different', 'number', 'compute', 'server', 'node', '.this', 'paper', 'introduces', 'adaptive', 'energy', 'power', 'consumption', 'prediction', 'aepcp', 'model', 'capable', 'predicting', 'power', 'energy', 'consumption', 'parallel', 'hpc', 'application', 'compute', 'node', 'scaling', 'without', 'explicitly', 'changing', 'system', 'dynamic', 'voltage', 'frequency', 'scaling', 'governor', 'configuration', 'assumption', 'fixed', 'adjusted', 'input', 'problem', 'size', 'model', 'application', 'specific', 'allows', 'ahead', 'time', 'power', 'energy', 'consumption', 'prediction', 'adapts', 'additional', 'execution', 'application', 'improving', 'prediction', 'accuracy', 'aepcp', 'model', 'requires', 'application', 'historical', 'power/energy', 'profile', 'data', 'input', 'involve', 'application', 'code', 'instrumentation', 'introduce', 'application', 'performance', 'degradation', 'validity', 'applicability', 'suggested', 'aepcp', 'model', 'shown', 'paper', 'empirical', 'result', 'achieved', 'using', 'two', 'real-world', 'application-benchmarks', 'supermuc', 'hpc', 'system', '10th', 'fastest', 'supercomputer', 'world', 'according', 'top500', 'november', 'ranking', 'deployed', 'leibniz', 'supercomputing', 'centre']"
7,"['scalability', 'prediction', 'fundamental', 'performance', 'factor', 'inferring', 'expected', 'performance', 'parallel', 'application', 'getting', 'harder', 'ever', 'application', 'need', 'modeled', 'restricted', 'nonexistent', 'system', 'performance', 'analyst', 'required', 'identify', 'extrapolate', 'behavior', 'using', 'available', 'resource', 'prediction', 'model', 'based', 'detailed', 'knowledge', 'application', 'algorithm', 'blindly', 'trying', 'extrapolate', 'measurement', 'existing', 'architecture', 'code', 'paper', 'describes', 'work', 'done', 'define', 'intermediate', 'methodology', 'combination', 'essential', 'knowledge', 'fundamental', 'factor', 'parallel', 'code', 'b', 'detailed', 'analysis', 'application', 'behavior', 'low', 'core', 'count', 'current', 'platform', 'guide', 'modeling', 'effort', 'estimate', 'behavior', 'large', 'core', 'count', 'methodology', 'integrates', 'use', 'several', 'component', 'like', 'instrumentation', 'package', 'visualization', 'tool', 'simulator', 'analytical', 'model', 'high', 'level', 'information', 'application', 'running', 'system', 'production', 'build', 'performance', 'model']"
9,"['predicting', 'energy', 'power', 'consumption', 'strong', 'weak', 'scaling', 'hpc', 'application', 'keeping', 'energy', 'cost', 'budget', 'operating', 'within', 'available', 'capacity', 'power', 'distribution', 'cooling', 'system', 'becoming', 'important', 'requirement', 'high', 'performance', 'computing', 'hpc', 'data', 'center', 'even', 'important', 'considering', 'estimated', 'power', 'requirement', 'exascale', 'computing', 'power', 'energy', 'capping', 'two', 'emerging', 'technique', 'aimed', 'towards', 'controlling', 'efficient', 'budgeting', 'power', 'energy', 'consumption', 'within', 'data', 'center', 'implementation', 'technique', 'requires', 'knowledge', 'potentially', 'unknown', 'power', 'energy', 'consumption', 'data', 'given', 'parallel', 'hpc', 'application', 'different', 'number', 'compute', 'server', 'node', '.this', 'paper', 'introduces', 'adaptive', 'energy', 'power', 'consumption', 'prediction', 'aepcp', 'model', 'capable', 'predicting', 'power', 'energy', 'consumption', 'parallel', 'hpc', 'application', 'different', 'number', 'compute', 'node', 'suggested', 'model', 'application', 'specific', 'describes', 'behavior', 'power', 'energy', 'respect', 'number', 'utilized', 'compute', 'node', 'taking', 'input', 'available', 'history', 'power/energy', 'data', 'application', 'provides', 'generic', 'solution', 'used', 'application', 'produce', 'application', 'specific', 'result', 'aepcp', 'model', 'allows', 'ahead', 'time', 'power', 'energy', 'consumption', 'prediction', 'adapts', 'additional', 'execution', 'application', 'improving', 'associated', 'prediction', 'accuracy', 'model', 'require', 'application', 'code', 'instrumentation', 'introduce', 'application', 'performance', 'degradation', 'thus', 'high', 'level', 'application', 'energy', 'power', 'consumption', 'prediction', 'model', 'validity', 'applicability', 'suggested', 'aepcp', 'model', 'shown', 'paper', 'empirical', 'result', 'achieved', 'using', 'two', 'application-benchmarks', 'supermuc', 'hpc', 'system', '10th', 'fastest', 'supercomputer', 'world', 'according', 'top500', 'november', 'ranking', 'deployed', 'leibniz', 'supercomputing', 'centre']"
10,"['slower', 'performance', 'model', 'exascale', 'computing', 'performance', 'framework', 'introduced', 'facilitate', 'development', 'optimization', 'extreme-scale', 'abstract', 'execution', 'model', 'future', 'system', 'derived', 'slower', 'defines', 'six-dimensional', 'design', 'trade-off', 'space', 'based', 'source', 'performance', 'degradation', 'invariant', 'across', 'system', 'class', 'exemplar', 'previous', 'generation', 'execution', 'model', 'e.g.', 'vector', 'examined', 'term', 'slower', 'parameter', 'illustrate', 'alternative', 'response', 'changing', 'enabling', 'technology', 'new', 'technology', 'trend', 'leading', 'nano-scale', 'end', 'moore', ""'s"", 'law', 'demand', 'future', 'innovation', 'address', 'performance', 'factor', 'experimental', 'execution', 'model', 'parallex', 'described', 'postulate', 'one', 'possible', 'advanced', 'abstraction', 'upon', 'base', 'next', 'generation', 'hardware', 'software', 'system', 'detailed', 'examination', 'presented', 'class', 'dynamic', 'adaptive', 'execution', 'model', 'address', 'slower', 'advance', 'efficiency', 'scalability', 'represent', 'slower', 'trade-off', 'space', 'queue', 'model', 'developed', 'described', 'set', 'simulation', 'experiment', 'spanning', 'range', 'key', 'parameter', 'presented', 'expose', 'initial', 'property', 'slower', 'framework']"
12,"['energy', 'memory', 'runtime', 'tradeoff', 'implementing', 'collective', 'communication', 'operation', 'collective', 'operation', 'among', 'important', 'communication', 'operation', 'shared-', 'distributed-memory', 'parallel', 'application', 'paper', 'analyze', 'tradeoff', 'energy', 'memory', 'runtime', 'different', 'algorithm', 'implement', 'operation', 'show', 'existing', 'algorithm', 'varying', 'behavior', 'algorithm', 'exists', 'optimal', 'three', 'regard', 'also', 'show', 'example', 'three', 'different', 'algorithm', 'solving', 'problem', 'algorithm', 'best', 'different', 'metric', 'conclude', 'posing', 'challenge', 'explore', 'resulting', 'tradeoff', 'structured', 'manner']"
13,"['data', 'compression', 'exascale', 'computing', 'era', 'survey', 'periodic', 'checkpointing', 'important', 'mechanism', 'tolerating', 'fault', 'high-performance', 'computing', 'hpc', 'system', 'cost-prohibitive', 'hpc', 'system', 'approach', 'exascale', 'applying', 'compression', 'technique', 'one', 'common', 'way', 'mitigate', 'burden', 'reducing', 'data', 'size', 'often', 'found', 'le', 'effective', 'scientific', 'datasets', 'traditional', 'lossless', 'compression', 'technique', 'look', 'repeated', 'pattern', 'ineffective', 'scientific', 'data', 'high-precision', 'data', 'used', 'hence', 'common', 'pattern', 'rare', 'find', 'paper', 'present', 'comparison', 'several', 'lossless', 'lossy', 'data', 'compression', 'algorithm', 'discus', 'methodology', 'exascale', 'environment', 'data', 'volume', 'increase', 'discover', 'increasing', 'trend', 'new', 'domain-driven', 'algorithm', 'exploit', 'inherent', 'characteristic', 'exhibited', 'many', 'scientific', 'dataset', 'relatively', 'small', 'change', 'data', 'value', 'one', 'simulation', 'iteration', 'next', 'among', 'neighboring', 'data', 'particular', 'significant', 'data', 'reduction', 'observed', 'lossy', 'compression', 'paper', 'also', 'discus', 'error', 'introduced', 'lossy', 'compression', 'controlled', 'tradeoff', 'compression', 'ratio']"
14,"['toward', 'exascale', 'resilience', 'update', 'resilience', 'major', 'roadblock', 'hpc', 'execution', 'future', 'exascale', 'system', 'system', 'typically', 'gather', 'million', 'cpu', 'core', 'running', 'billion', 'thread', 'projection', 'current', 'large', 'system', 'technology', 'evolution', 'predict', 'error', 'happen', 'exascale', 'system', 'many', 'time', 'per', 'day', 'error', 'propagate', 'generate', 'various', 'kind', 'malfunction', 'simple', 'process', 'crash', 'result', 'corruptions.the', 'past', 'five', 'year', 'seen', 'extraordinary', 'technical', 'progress', 'many', 'domain', 'related', 'exascale', 'resilience', 'several', 'technical', 'option', 'initially', 'considered', 'inapplicable', 'unrealistic', 'hpc', 'context', 'demonstrated', 'surprising', 'success', 'despite', 'progress', 'exascale', 'resilience', 'problem', 'solved', 'community', 'still', 'facing', 'difficult', 'challenge', 'ensuring', 'exascale', 'application', 'complete', 'generate', 'correct', 'result', 'running', 'unstable', 'system', 'since', 'many', 'workshop', 'study', 'report', 'improved', 'definition', 'resilience', 'problem', 'provided', 'refined', 'recommendation', 'projection', 'made', 'previous', 'decade', 'priority', 'established', 'projection', 'need', 'revised', 'paper', 'survey', 'community', 'learned', 'past', 'five', 'year', 'summarizes', 'research', 'problem', 'still', 'considered', 'critical', 'hpc', 'community']"
15,"['model-driven', 'one-sided', 'factorization', 'multicore', 'accelerated', 'system', 'hardware', 'heterogeneity', 'hpc', 'platform', 'longer', 'considered', 'unusual', 'instead', 'become', 'viable', 'way', 'forward', 'towards', 'exascale', 'fact', 'multitude', 'heterogeneous', 'resource', 'available', 'modern', 'computer', 'designed', 'different', 'workload', 'efficient', 'use', 'closely', 'aligned', 'specialized', 'role', 'envisaged', 'design', 'commonly', 'order', 'efficiently', 'use', 'gpu', 'resource', 'workload', 'question', 'must', 'much', 'greater', 'degree', 'parallelism', 'workload', 'often', 'associated', 'multicore', 'processor', 'cpu', 'available', 'gpu', 'variant', 'differ', 'internal', 'architecture', 'result', 'capable', 'handling', 'workload', 'varying', 'degree', 'complexity', 'range', 'computational', 'pattern', 'vast', 'array', 'applicable', 'workload', 'likely', 'lead', 'ever', 'accelerated', 'mixing', 'multicore-cpus', 'gpus', 'multi-user', 'environment', 'ultimate', 'goal', 'offering', 'adequate', 'computing', 'facility', 'wide', 'range', 'scientific', 'technical', 'workload', 'following', 'paper', 'present', 'research', 'prototype', 'us', 'lightweight', 'runtime', 'environment', 'manage', 'resource-specific', 'workload', 'control', 'dataflow', 'parallel', 'execution', 'hybrid', 'system', 'lightweight', 'runtime', 'environment', 'us', 'task', 'superscalar', 'concept', 'enable', 'developer', 'write', 'serial', 'code', 'providing', 'parallel', 'execution', 'concept', 'reminiscent', 'dataflow', 'systolic', 'architecture', 'conceptualization', 'workload', 'set', 'side-effect-free', 'task', 'pas', 'data', 'item', 'whenever', 'associated', 'work', 'assignment', 'completed', 'additionally', 'task', 'abstraction', 'parametrization', 'enable', 'uniformity', 'algorithmic', 'development', 'across', 'heterogeneous', 'resource', 'without', 'sacrificing', 'precious', 'compute', 'cycle', 'include', 'performance', 'result', 'dense', 'linear', 'algebra', 'function', 'demonstrate', 'practicality', 'effectiveness', 'approach', 'aptly', 'capable', 'full', 'utilization', 'wide', 'range', 'accelerator', 'hardware']"
16,"['towards', 'performance', 'portable', 'architecture', 'agnostic', 'implementation', 'strategy', 'weather', 'climate', 'model', 'propose', 'software', 'implementation', 'strategy', 'complex', 'weather', 'climate', 'model', 'produce', 'performance', 'portable', 'architecture', 'agnostic', 'code', 'relies', 'domain', 'data', 'structure', 'specific', 'tool', 'usable', 'within', 'common', 'model', 'development', 'framework', 'вђ', 'fortran', 'today', 'possibly', 'high-level', 'programming', 'environment', 'like', 'python', 'future', 'present', 'strategy', 'term', 'refactoring', 'project', 'atmospheric', 'model', 'cosmo', 'rewritten', 'dynamical', 'core', 'refactored', 'remaining', 'fortran', 'code', 'dynamical', 'core', 'built', 'top', 'domain', 'specific', 'stencil', 'loop', 'language', 'stencil', 'computation', 'structured', 'grid', 'generic', 'framework', 'halo', 'exchange', 'boundary', 'condition', 'well', 'generic', 'communi-', 'cation', 'library', 'handle', 'data', 'exchange', 'distributed', 'memory', 'system', 'tool', 'implemented', 'c++', 'making', 'extensive', 'use', 'generic', 'programming', 'template', 'metaprogram-', 'ming', 'refactored', 'code', 'shown', 'outperform', 'current', 'production', 'code', 'performance', 'portable', 'various', 'hybrid', 'cpu-gpu', 'node', 'architectures.']"
17,"['towards', 'performance', 'portable', 'architecture', 'agnostic', 'implementation', 'strategy', 'weather', 'climate', 'model', 'propose', 'software', 'implementation', 'strategy', 'complex', 'weather', 'climate', 'model', 'produce', 'performance', 'portable', 'architecture', 'agnostic', 'code', 'relies', 'domain', 'data', 'structure', 'specific', 'tool', 'usable', 'within', 'common', 'model', 'development', 'framework', 'fortran', 'today', 'possibly', 'high-level', 'programming', 'environment', 'like', 'python', 'future', 'present', 'strategy', 'term', 'refactoring', 'project', 'atmospheric', 'model', 'cosmo', 'rewritten', 'dynamical', 'core', 'refactored', 'remaining', 'fortran', 'code', 'dynamical', 'core', 'built', 'top', 'domain', 'specific', 'stencil', 'loop', 'language', 'stencil', 'computation', 'structured', 'grid', 'generic', 'framework', 'halo', 'exchange', 'boundary', 'condition', 'well', 'generic', 'communication', 'library', 'handle', 'data', 'exchange', 'distributed', 'memory', 'system', 'tool', 'implemented', 'c++', 'making', 'extensive', 'use', 'generic', 'programming', 'template', 'metaprogramming', 'refactored', 'code', 'shown', 'outperform', 'current', 'production', 'code', 'performance', 'portable', 'various', 'hybrid', 'cpu-gpu', 'node', 'architecture']"
